Water_sample_ID;Fieldwork_ID;Water_subsurface_temperature_celcius;Water_subsurface_salinity_psu;Water_subsurface_dissolved_oxygen_mg_per_L;Water_subsurface_pH;Water_subsurface_turbidity_fnu;Water_subsurface_chlorophyll_a_concentration_µg_per_L;Water_subsurface_nitrite_concentration_µM;Water_subsurface_nitrate_concentration_µM;Water_subsurface_silica_concentration_µM;Water_subsurface_phosphate_concentration_µM;Water_subsurface_ammonium_concentration_µM;Water_surface_Ag_concentration_µg_per_L;Water_surface_Al_concentration_µg_per_L;Water_surface_As_concentration_µg_per_L;Water_surface_Ba_concentration_µg_per_L;Water_surface_Cd_concentration_µg_per_L;Water_surface_Co_concentration_µg_per_L;Water_surface_Cr_concentration_µg_per_L;Water_surface_Cu_concentration_µg_per_L;Water_surface_Fe_concentration_µg_per_L;Water_surface_In_concentration_µg_per_L;Water_surface_Mn_concentration_µg_per_L;Water_surface_Mo_concentration_µg_per_L;Water_surface_Ni_concentration_µg_per_L;Water_surface_Pb_concentration_µg_per_L;Water_surface_Sb_concentration_µg_per_L;Water_surface_Se_concentration_µg_per_L;Water_surface_Sn_concentration_µg_per_L;Water_surface_V_concentration_µg_per_L;Water_surface_Zn_concentration_µg_per_L;Water_surface_naphthalene_concentration_ng_per_L;Water_surface_C1_naphthalene_concentration_ng_per_L;Water_surface_C2_naphthalene_concentration_ng_per_L;Water_surface_C3_naphthalene_concentration_ng_per_L;Water_surface_benzothiophene_concentration_ng_per_L;Water_surface_C1_benzothiophene_concentration_ng_per_L;Water_surface_C2_benzothiophene_concentration_ng_per_L;Water_surface_C3_benzothiophene_concentration_ng_per_L;Water_surface_biphenyl_concentration_ng_per_L;Water_surface_acenapthtylene_concentration_ng_per_L;Water_surface_acenaphthene_concentration_ng_per_L;Water_surface_fluorene_concentration_ng_per_L;Water_surface_C1_fluorene_concentration_ng_per_L;Water_surface_C2_fluorene_concentration_ng_per_L;Water_surface_C3_fluorene_concentration_ng_per_L;Water_surface_phenanthrene_concentration_ng_per_L;Water_surface_anthracene_concentration_ng_per_L;Water_surface_C1_phenanthrene_and_anthracene_concentration_ng_per_L;Water_surface_C2_phenanthrene_and_anthracene_concentration_ng_per_L;Water_surface_C3_phenanthrene_and_anthracene_concentration_ng_per_L;Water_surface_dibenzothiophene_concentration_ng_per_L;Water_surface_C1_dibenzothiophene_concentration_ng_per_L;Water_surface_C2_dibenzothiophene_concentration_ng_per_L;Water_surface_C3_dibenzothiophene_concentration_ng_per_L;Water_surface_fluoranthene_concentration_ng_per_L;Water_surface_pyrene_concentration_ng_per_L;Water_surface_C1_fluoranthene_and_pyrene_concentration_ng_per_L;Water_surface_C2_fluoranthene_and_pyrene_concentration_ng_per_L;Water_surface_C3_fluoranthene_and_pyrene_concentration_ng_per_L;Water_surface_benz_a_anthracene_concentration_ng_per_L;Water_surface_chrysene_concentration_ng_per_L;Water_surface_C1_chrysene_concentration_ng_per_L;Water_surface_C2_chrysene_concentration_ng_per_L;Water_surface_C3_chrysene_concentration_ng_per_L;Water_surface_benzo_b_k_fluranthene_concentration_ng_per_L;Water_surface_benzo_e_pyrene_concentration_ng_per_L;Water_surface_benzo_a_pyrene_concentration_ng_per_L;Water_surface_perylene_concentration_ng_per_L;Water_surface_indeno_1_2_3_cd_pyrene_concentration_ng_per_L;Water_surface_dibenz_a_h_anthracene_concentration_ng_per_L;Water_surface_benzo_ghi_perylene_concentration_ng_per_L;Water_measurements_protocol_DOI
QUALIPERTUIS_water_sample_01;2019-10-16_L'Houmeau_marsh_reference;16.35;34.58;7.42;7.91;34.60;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;https://doi.org/10.1016/j.marenvres.2020.104962 and https://doi.org/10.1016/j.ecoenv.2016.01.011
QUALIPERTUIS_water_sample_02;2019-10-21_Minimes_fairing;17.04;32.17;7.35;7.83;10.20;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;https://doi.org/10.1016/j.marenvres.2020.104962 and https://doi.org/10.1016/j.ecoenv.2016.01.011
QUALIPERTUIS_water_sample_03;2019-10-21_Minimes_rain_waters;17.21;33.54;7.10;7.84;5.60;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;https://doi.org/10.1016/j.marenvres.2020.104962 and https://doi.org/10.1016/j.ecoenv.2016.01.011
QUALIPERTUIS_water_sample_04;2019-10-21_Minimes_oil;16.57;33.42;8.34;7.89;3.10;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;https://doi.org/10.1016/j.marenvres.2020.104962 and https://doi.org/10.1016/j.ecoenv.2016.01.011
QUALIPERTUIS_water_sample_05;2019-10-23_L'Houmeau_marsh_reference;13.88;35.83;8.41;8.28;17.60;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;https://doi.org/10.1016/j.marenvres.2020.104962 and https://doi.org/10.1016/j.ecoenv.2016.01.011
QUALIPERTUIS_water_sample_06;2019-11-04_Minimes_fairing;14.69;29.86;10.28;8.00;6.70;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;https://doi.org/10.1016/j.marenvres.2020.104962 and https://doi.org/10.1016/j.ecoenv.2016.01.011
QUALIPERTUIS_water_sample_07;2019-11-04_Minimes_rain_waters;14.86;30.53;9.90;7.99;4.20;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;https://doi.org/10.1016/j.marenvres.2020.104962 and https://doi.org/10.1016/j.ecoenv.2016.01.011
QUALIPERTUIS_water_sample_08;2019-11-04_Minimes_oil;14.81;30.68;10.06;7.95;10.70;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;https://doi.org/10.1016/j.marenvres.2020.104962 and https://doi.org/10.1016/j.ecoenv.2016.01.011
QUALIPERTUIS_water_sample_09;2019-11-06_L'Houmeau_marsh_reference;12.11;31.52;10.90;8.28;12.10;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;https://doi.org/10.1016/j.marenvres.2020.104962 and https://doi.org/10.1016/j.ecoenv.2016.01.011
QUALIPERTUIS_water_sample_10;2019-11-13_Minimes_fairing;11.95;28.18;10.29;7.68;13.40;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;https://doi.org/10.1016/j.marenvres.2020.104962 and https://doi.org/10.1016/j.ecoenv.2016.01.011
QUALIPERTUIS_water_sample_100;2021-10-15_Minimes_rain_waters;15.71;34.08;5.77;8.25;7.00;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;https://doi.org/10.1016/j.marenvres.2020.104962 and https://doi.org/10.1016/j.ecoenv.2016.01.011
QUALIPERTUIS_water_sample_101;2021-10-15_Minimes_oil;15.82;34.08;6.79;8.21;5.10;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;https://doi.org/10.1016/j.marenvres.2020.104962 and https://doi.org/10.1016/j.ecoenv.2016.01.011
QUALIPERTUIS_water_sample_102;2021-10-15_L'Houmeau_marsh_reference;15.84;34.16;6.32;8.33;5.00;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;https://doi.org/10.1016/j.marenvres.2020.104962 and https://doi.org/10.1016/j.ecoenv.2016.01.011
QUALIPERTUIS_water_sample_103;2021-10-29_Minimes_fairing;13.67;33.11;9.19;8.19;18.40;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;https://doi.org/10.1016/j.marenvres.2020.104962 and https://doi.org/10.1016/j.ecoenv.2016.01.011
QUALIPERTUIS_water_sample_104;2021-10-29_Minimes_rain_waters;15.54;32.44;8.20;8.00;5.20;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;https://doi.org/10.1016/j.marenvres.2020.104962 and https://doi.org/10.1016/j.ecoenv.2016.01.011
QUALIPERTUIS_water_sample_105;2021-10-29_Minimes_oil;15.44;32.41;8.08;8.05;4.70;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;https://doi.org/10.1016/j.marenvres.2020.104962 and https://doi.org/10.1016/j.ecoenv.2016.01.011
QUALIPERTUIS_water_sample_106;22021-10-29_L'Houmeau_marsh_reference;15.53;32.46;8.53;8.00;3.40;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;https://doi.org/10.1016/j.marenvres.2020.104962 and https://doi.org/10.1016/j.ecoenv.2016.01.011
QUALIPERTUIS_water_sample_107;2021-11-08_Minimes_fairing;11.13;27.09;11.70;8.24;10.00;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;https://doi.org/10.1016/j.marenvres.2020.104962 and https://doi.org/10.1016/j.ecoenv.2016.01.011
QUALIPERTUIS_water_sample_108;2021-11-08_Minimes_rain_waters;13.00;31.86;9.01;8.02;6.10;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;https://doi.org/10.1016/j.marenvres.2020.104962 and https://doi.org/10.1016/j.ecoenv.2016.01.011
QUALIPERTUIS_water_sample_109;2021-11-08_Minimes_oil;13.11;31.92;10.24;8.00;9.20;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;https://doi.org/10.1016/j.marenvres.2020.104962 and https://doi.org/10.1016/j.ecoenv.2016.01.011
QUALIPERTUIS_water_sample_11;2019-11-13_Minimes_rain_waters;12.31;29.28;9.27;7.89;11.50;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;https://doi.org/10.1016/j.marenvres.2020.104962 and https://doi.org/10.1016/j.ecoenv.2016.01.011
QUALIPERTUIS_water_sample_110;2021-11-08_L'Houmeau_marsh_reference;13.03;31.83;8.67;8.01;7.00;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;https://doi.org/10.1016/j.marenvres.2020.104962 and https://doi.org/10.1016/j.ecoenv.2016.01.011
QUALIPERTUIS_water_sample_12;2019-11-13_Minimes_oil;12.08;29.87;10.81;7.94;14.00;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;https://doi.org/10.1016/j.marenvres.2020.104962 and https://doi.org/10.1016/j.ecoenv.2016.01.011
QUALIPERTUIS_water_sample_13;2019-11-14_L'Houmeau_marsh_reference;9.16;30.38;10.70;8.52;5.80;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;https://doi.org/10.1016/j.marenvres.2020.104962 and https://doi.org/10.1016/j.ecoenv.2016.01.011
QUALIPERTUIS_water_sample_14;2020-01-20_L'Houmeau_marsh_reference;5.28;24.17;9.86;8.40;4.10;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;https://doi.org/10.1016/j.marenvres.2020.104962 and https://doi.org/10.1016/j.ecoenv.2016.01.011
QUALIPERTUIS_water_sample_15;2020-01-21_Minimes_fairing;9.75;30.42;7.92;8.02;11.30;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;NP;https://doi.org/10.1016/j.marenvres.2020.104962 and https://doi.org/10.1016/j.ecoenv.2016.01.011
